# Stome stuff here
#licensee,emailAddress,externalID,username,password,mailHost,notifierURI
# 1 zimbra account
#
#TimeTrade,bkelly@tt-zimbra-test.com,someExternalId,bkelly@tt-zimbra-test.com,Testing123,zcs-mta.vps-host.net,http://localhost/notifier
#
# Lots of inhouse Exchange accounts
#TimeTrade,TestAcc19@devexchtest.local,TestAcc19,TestAcc19,qlmaGFyHag4X,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc20@devexchtest.local,TestAcc20,TestAcc20,TUFzhk779M4e,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc21@devexchtest.local,TestAcc21,TestAcc21,Ypm0k34sIrKU,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc22@devexchtest.local,TestAcc22,TestAcc22,oK3LVLOW7wH8,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc23@devexchtest.local,TestAcc23,TestAcc23,bfP1skJu1AMi,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc24@devexchtest.local,TestAcc24,TestAcc24,ivH1XrsaSwjF,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc25@devexchtest.local,TestAcc25,TestAcc25,2KZubImuD0Xd,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc26@devexchtest.local,TestAcc26,TestAcc26,LyEduo020VqM,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc27@devexchtest.local,TestAcc27,TestAcc27,bIN1YCrYVSOG,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc28@devexchtest.local,TestAcc28,TestAcc28,9aUUa46op4sd,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc29@devexchtest.local,TestAcc29,TestAcc29,QcWTL58rW7Fa,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc30@devexchtest.local,TestAcc30,TestAcc30,DL71SvIAiB09,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc31@devexchtest.local,TestAcc31,TestAcc31,1vi4N6g2Iy1M,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc32@devexchtest.local,TestAcc32,TestAcc32,FEQ4PbAyvQpQ,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc33@devexchtest.local,TestAcc33,TestAcc33,H0fb6XlEXFO1,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc34@devexchtest.local,TestAcc34,TestAcc34,y1JJ0W2F7Dpt,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc35@devexchtest.local,TestAcc35,TestAcc35,kBj5QjMnqX3a,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc36@devexchtest.local,TestAcc36,TestAcc36,uVbML7l4nb73,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc37@devexchtest.local,TestAcc37,TestAcc37,18Kiokdatnmu,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc38@devexchtest.local,TestAcc38,TestAcc38,3zEVpbVwOykD,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc39@devexchtest.local,TestAcc39,TestAcc39,F4yiJCBRnMr8,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc40@devexchtest.local,TestAcc40,TestAcc40,dbYkHPb6Dau7,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc41@devexchtest.local,TestAcc41,TestAcc41,6ESJsxLNluX3,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc42@devexchtest.local,TestAcc42,TestAcc42,cAk4ma63xete,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc43@devexchtest.local,TestAcc43,TestAcc43,N3DHkgGtSoig,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc44@devexchtest.local,TestAcc44,TestAcc44,bV0LQnQvXW5L,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc45@devexchtest.local,TestAcc45,TestAcc45,Rb0MGHAnR6M3,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc46@devexchtest.local,TestAcc46,TestAcc46,2yppx3oeYuuE,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc47@devexchtest.local,TestAcc47,TestAcc47,s4zzIL3W9xTB,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc48@devexchtest.local,TestAcc48,TestAcc48,2fgqITyX19lA,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc49@devexchtest.local,TestAcc49,TestAcc49,TwPTC40B80k5,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc50@devexchtest.local,TestAcc50,TestAcc50,HlG42GQmEteh,devexch2010-dc,http://localhost/notifier
